letter,English,French
a,7.866666666666667,8.566666666666668
b,1.4666666666666668,1.1666666666666667
c,2.3333333333333335,2.9
d,4.733333333333333,3.6
e,12.700000000000001,14.933333333333332
f,1.9666666666666668,1.2333333333333334
g,2.1999999999999997,1.2666666666666666
h,6.8,1.3
i,6.5,7.3
j,0.16666666666666666,0.6000000000000001
k,1.0666666666666667,0.10000000000000002
l,4.166666666666667,5.633333333333333
m,2.1333333333333333,3.0
n,6.466666666666666,7.033333333333334
o,7.766666666666667,5.666666666666667
p,1.5666666666666664,3.1333333333333333
q,0.13333333333333333,1.0999999999999999
r,5.666666666666667,6.833333333333333
s,5.866666666666667,7.8
t,9.6,7.6000000000000005
u,2.8666666666666667,6.366666666666667
v,0.7666666666666666,1.7333333333333334
w,2.733333333333333,0.16666666666666666
x,0.10000000000000002,0.4000000000000001
y,2.3000000000000003,0.4000000000000001
z,0.10000000000000002,0.16666666666666666
