letter,colour,English,French
a,#adc5e7,7.86666666666667,8.56666666666667
b,#bce4e5,1.46666666666667,1.16666666666667
c,#bcaed5,2.33333333333333,2.9
d,#fffbcc,4.73333333333333,3.6
e,#fcd3c1,12.7,14.9333333333333
f,#e0efd4,1.96666666666667,1.23333333333333
g,#729fcf,2.2,1.26666666666667
h,#59c5c7,6.8,1.3
i,#826aaf,6.5,7.3
j,#fff685,0.166666666666667,0.6
k,#f68e76,1.06666666666667,0.1
l,#add58a,4.16666666666667,5.63333333333333
m,#1b75bc,2.13333333333333,3
n,#009598,6.46666666666667,7.03333333333333
o,#512480,7.76666666666667,5.66666666666667
p,#e3d200,1.56666666666667,3.13333333333333
q,#cf3834,0.133333333333333,1.1
r,#62a73b,5.66666666666667,6.83333333333333
s,#00508f,5.86666666666667,7.8
t,#006d6f,9.6,7.6
u,#390a5d,2.86666666666667,6.36666666666667
v,#a09600,0.766666666666667,1.73333333333333
w,#94070a,2.73333333333333,0.166666666666667
x,#407927,0.1,0.4
y,#0d1f63,2.3,0.4
z,#003c3d,0.1,0.166666666666667
